Period,Current Assets,Current Liabilities,Total Assets,Inventory,Total Equity,Revenue,Cost of Goods Sold,Net Income
12/31/2022,40917000000,26709000000,82338000000,12839000000,44704000000,81462000000,604000000,12556000000
12/31/2021,27100000000,19705000000,62131000000,5757000000,30189000000,53823000000,374000000,5519000000
12/31/2020,26717000000,14248000000,52148000000,4101000000,22225000000,31536000000,289000000,721000000
12/31/2019,12103000000,10667000000,34309000000,3552000000,6618000000,24578000000,193000000,-862000000
12/31/2018,8307000000,9993000000,29740000000,3113000000,4923000000,21461000000,85272000,-976000000
