,Balance of Payments
2023-03-10,279.0
2023-03-13,232.0
2023-03-14,252.0
2023-03-15,262.0
2023-03-16,261.0
2023-03-17,269.0
2023-03-20,277.0
2023-03-21,278.0
2023-03-22,281.0
2023-03-23,276.0
2023-03-24,271.0
2023-03-27,268.0
2023-03-28,268.0
2023-03-29,247.0
2023-03-30,240.0
2023-03-31,175.0
2023-04-03,261.0
2023-04-04,263.0
2023-04-05,255.0
