date,value,Volume,Open,High,Low
6/25/2018,50.71,45320560,$51.17 ,$51.75 ,$49.91 
6/26/2018,49.67,37512410,$49.95 ,$50.41 ,$49.36 
6/27/2018,48.76,33280020,$49.34 ,$50.06 ,$48.75 
6/28/2018,49.25,29052480,$48.58 ,$49.49 ,$48.50 
6/29/2018,49.71,28902790,$49.53 ,$50.11 ,$49.50 
7/2/2018,50.2,23741080,$49.04 ,$50.27 ,$48.83 
7/3/2018,49.47,16327900,$50.58 ,$50.86 ,$49.43 
7/5/2018,50.75,26106880,$49.98 ,$50.96 ,$49.75 
7/6/2018,51.37,19959960,$50.77 ,$51.50 ,$50.40 
7/9/2018,51.86,21343680,$51.64 ,$51.89 ,$51.00 
7/10/2018,52.16,17323870,$52.10 ,$52.26 ,$51.84 
7/11/2018,51.2,18642300,$51.69 ,$51.87 ,$51.19 
7/12/2018,52.35,20288260,$52.05 ,$52.48 ,$51.73 
7/13/2018,52.22,13747780,$52.40 ,$52.42 ,$51.76 
7/16/2018,52.01,15893050,$52.15 ,$52.32 ,$51.87 
7/17/2018,51.75,15702030,$51.05 ,$51.88 ,$51.01 
7/18/2018,51.72,14641310,$51.87 ,$51.97 ,$51.47 
7/19/2018,51.98,15688590,$51.60 ,$52.01 ,$51.05 
7/20/2018,51.91,17380050,$51.83 ,$52.07 ,$51.33 
7/23/2018,52.31,15867890,$51.77 ,$52.50 ,$51.33 
7/24/2018,52.18,17786160,$52.76 ,$53.30 ,$52.08 
7/25/2018,52.43,19756140,$52.21 ,$52.45 ,$51.09 
7/26/2018,52.16,26848630,$52.45 ,$53.18 ,$51.87 
7/27/2018,47.68,67781420,$48.76 ,$49.20 ,$47.48 
7/30/2018,47.69,35212830,$47.63 ,$47.99 ,$46.43 
7/31/2018,48.1,36406210,$48.24 ,$48.68 ,$47.69 
8/1/2018,48.81,28054040,$48.06 ,$48.91 ,$48.00 
8/2/2018,49.48,26387650,$48.50 ,$49.52 ,$48.20 
8/3/2018,49.63,22004190,$49.50 ,$49.78 ,$49.17 
8/6/2018,49.3,26445230,$48.77 ,$49.31 ,$48.32 
8/7/2018,49.7,28315470,$49.43 ,$49.83 ,$49.41 
8/8/2018,49.96,21981650,$49.60 ,$50.13 ,$49.44 
8/9/2018,50.14,23362970,$49.86 ,$50.60 ,$49.72 
8/10/2018,48.85,28695820,$48.51 ,$49.17 ,$48.30 
8/13/2018,48.45,17000380,$48.92 ,$49.24 ,$48.38 
8/14/2018,48.12,22407870,$48.67 ,$48.76 ,$47.65 
8/15/2018,47.46,26555070,$47.78 ,$48.00 ,$46.90 
8/16/2018,47.17,24287200,$47.75 ,$47.95 ,$47.05 
8/17/2018,47.1,26368390,$47.00 ,$47.39 ,$46.33 
8/20/2018,46.5,24039470,$47.05 ,$47.12 ,$46.19 
8/21/2018,47.62,18617550,$46.66 ,$47.85 ,$46.64 
8/22/2018,47.05,23097140,$47.25 ,$47.35 ,$46.92 
8/23/2018,46.98,31038380,$46.86 ,$47.17 ,$46.71 
8/24/2018,47.66,17912840,$47.29 ,$47.89 ,$47.08 
8/27/2018,48.35,17096430,$48.00 ,$48.39 ,$47.63 
8/28/2018,48.57,13468210,$48.55 ,$48.79 ,$48.31 
8/29/2018,48.75,13296010,$48.70 ,$48.86 ,$48.40 
8/30/2018,48.24,16279490,$48.52 ,$48.83 ,$48.09 
8/31/2018,48.43,16385680,$47.96 ,$48.56 ,$47.92 
9/4/2018,47.96,15669670,$48.38 ,$48.43 ,$47.56 
